port,country,landings_metrictons,latitude,longitude,demersal_perc,pelagic_perc,shellfish_perc
Chimbote,Peru,677753.00,-9.0744966,-78.593609,0.01,0.93,0.07
Vladivostok,Russia,604645.00,43.1150678,131.8855768,0.80,0.15,0.05
Nahodka,Russia,604645.00,42.8246489,132.8926,0.80,0.15,0.05
Maluku (Ambon),Indonesia,567953.00,-3.6959434,128.178785,0.27,0.53,0.14
Chicama,Peru,566100.00,-7.843424,-79.1451857,0.00,1.00,0.00
Chonnam,"Korea, Republic of (S)",523931.00,35.1769099,126.9068927,,,
Callao,Peru,510537.00,-12.066667,-77.15,0.00,0.96,0.04
Coronel,Chile,506866.00,-37.0164712,-73.1561953,0.03,0.95,0.02
Iquique,Chile,488092.00,-20.2140657,-70.1524646,0.03,0.93,0.00
Paita,Peru,483721.00,-5.0099903,-80.9733735,0.00,0.96,0.03
Zhoushan City,"China, PR",481017.00,32.9740677,119.5122734,0.34,0.33,0.32
Tromso,Norway,474571.00,69.6475,18.97,0.39,0.20,0.02
Pisco,Peru,473991.00,-13.7099813,-76.2029793,0.00,0.97,0.03
Medan,Indonesia,463201.00,3.5896654,98.6738261,0.27,0.39,0.14
Yantai City,"China, PR",454762.00,37.461928,121.4425255,0.30,0.39,0.26
Ningbo City,"China, PR",449863.00,30.1730437,121.2623259,0.34,0.33,0.32
Tarawa,Kiribati,443750.00,1.4845542,172.9689648,0.00,1.00,0.00
Wenzhou City,"China, PR",433576.00,24.14549,117.660807,0.34,0.33,0.32
Alesund,Norway,421237.00,62.48023635,6.55507394,0.36,0.28,0.00
Walvis Bay,Namibia,418037.00,-22.9557607,14.5071125,0.07,0.93,0.01
Manta,Ecuador,410611.00,-0.941556,-80.71,0.04,0.72,0.01
Dahkla,Morocco,392537.00,23.725833,-15.911944,0.04,0.96,0.00
Yangjiang City,"China, PR",374000.00,22.0958223,111.7831393,0.37,0.36,0.23
Nouadhibou,Mauritania,372013.00,20.9127045,-17.0503094,0.11,0.82,0.07
Surubaya,Indonesia,362624.00,-7.229972,112.805389,0.27,0.46,0.14
Xiamen City,"China, PR",345985.00,24.4801069,118.0853479,0.34,0.41,0.24
"Dutch Harbor, AK",USA,340878.00,53.8867533,-166.5418,0.86,0.00,0.00
Zhoushan City,"China, PR",340018.00,32.9740677,119.5122734,0.34,0.33,0.32
Perak,Malaysia,315817.00,4.812181,100.9797908,0.68,0.99,0.01
Castro,Chile,307609.00,-42.486694,-73.748,0.06,0.30,0.64
Zhanjiang City,"China, PR",305000.00,21.2737079,110.3548318,0.37,0.36,0.23
Bandar Abbas,Iran (Islamic Rep. of),304263.00,27.1793466,56.2781423,0.23,0.74,0.03
Nevelsk,Russia,302323.00,46.70421459,141.9386314,0.80,0.15,0.05
Korsakov,Russia,302323.00,46.632815,142.7810147,0.80,0.15,0.05
Petropavlovsk,Russia,302323.00,53.027028,158.615,0.80,0.15,0.05
Magadan,Russia,302323.00,59.550222,150.9,0.80,0.15,0.05
Fuzhou City,"China, PR",298558.00,25.983917,119.28,0.34,0.41,0.24
Kaohsiung City,"China, Rep. of (Taiwan)",292800.00,22.630583,120.3438175,,,
Skagen,Denmark,291917.00,57.7259703,10.5844602,0.01,0.99,0.01
Chancay,Peru,290548.00,-11.5627697,-77.2699958,0.00,0.99,0.01
Rabaul,Papua New Guinea,283591.00,-4.1984592,152.1728287,0.00,1.00,0.00
Arica,Chile,279060.00,-18.4785288,-70.3211394,0.01,0.99,0.00
Talcahuano,Chile,276221.00,-36.7144863,-73.1141087,0.05,0.84,0.11
Coishco,Peru,273966.00,-9.0227418,-78.6152844,0.01,0.86,0.13
Jayapura,Indonesia,269259.00,-2.5387539,140.7037389,0.27,0.40,0.14
Kyongnam,"Korea, Republic of (S)",268499.00,35.2091146,128.1126317,,,
Karachi,Pakistan,261788.00,24.8546842,67.0207055,0.47,0.88,0.12
Shanwei City,"China, PR",260000.00,23.0123639,115.5099937,0.37,0.36,0.23
Samerang,Indonesia,251536.00,-6.93,110.41,0.27,0.37,0.14
San Vicente,Chile,250877.00,6.2826869,-75.3317647,0.13,0.81,0.06
Laayoun,Morocco,248238.00,27.102444,-13.44,0.02,0.00,0.00
Nova Scotia,Canada,235751.00,45.1960403,-63.1653789,0.21,0.21,0.58
Vestmannaeyjar,Iceland,234117.00,63.4266646,-20.26988158,0.16,0.84,0.00
Thyboran,Denmark,234035.00,56.712056,8.217,0.06,0.94,0.00
Mandao,Indonesia,230523.00,23.1308954,-82.3956688,0.27,0.92,0.14
Choshi,Japan,229680.00,35.7345338,140.8272667,,,
Zhoushan City,"China, PR",227585.00,32.9740677,119.5122734,0.34,0.33,0.32
Kendari,Indonesia,227356.00,-3.9918068,122.5180066,0.27,0.51,0.14
"Empire-Venice, LA",USA,226980.00,14.5340683,121.0509818,,,
Makassar,Indonesia,218819.00,-5.1342962,119.4124282,0.27,0.46,0.14
Neskaupstadur,Iceland,213445.00,65.1487219,-13.6888688,0.05,0.95,0.00
Aysen,Chile,211450.00,-46.1434629,-74.21278863,0.00,0.99,0.00
British Columbia,Canada,209541.00,49.29,-123.2,0.47,0.11,0.42
"Aleutian Islands, AK",USA,206659.00,54.72093505,-164.0408092,,,
Victoria,Seychelles,204593.00,-36.5986096,144.6780052,0.01,0.99,0.00
Newfoundland,Canada,198525.00,49.12119115,-56.64032459,0.13,0.30,0.58
Pago Pago,American Samoa,197574.00,-14.2754786,-170.7048298,0.00,1.00,0.00
Fuzhou City,"China, PR",197373.00,26.0774954,119.2918215,0.34,0.41,0.24
Chungnam,"Korea, Republic of (S)",197141.00,36.6593,126.6729,0.00,0.00,0.00
Tambode Mora,Peru,197027.00,-13.462278,-76.204,0.00,0.99,0.01
Padang,Indonesia,196511.00,-0.9247587,100.3632561,0.27,0.49,0.14
Majuro,Rep Marshall Islands,193248.00,7.0909924,171.3816354,0.00,1.00,0.00
Pangkal Pinang,Indonesia,192474.00,-2.1206733,106.1134604,0.27,0.35,0.14
Cisnes,Chile,189028.00,-44.401047,-73.60048628,0.01,0.99,0.00
Bandung,Indonesia,185825.00,-6.9215529,107.6110212,0.27,0.48,0.14
Yaidu,Japan,184380.00,34.848889,138.356,,,
Vagsoy,Norway,183679.00,61.9792485,5.09604154,0.14,0.72,0.00
Lagos,Nigeria,180239.00,6.4550575,3.3941795,0.85,0.12,0.03
Jakarta,Indonesia,180198.00,-6.1754049,106.827168,0.27,0.66,0.14
Wenzhou City,"China, PR",178382.00,24.14549,117.660807,0.34,0.33,0.32
"Kodiak, AK",USA,178264.00,57.7901661,-152.4067073,,,
"Reedville, VA",USA,176449.00,37.8420743,-76.2757772,,,
Honiara,Solomon Islands,164899.00,-9.4310769,159.9552552,0.00,1.00,0.00
Yantai City,"China, PR",164579.00,37.461928,121.4425255,0.30,0.39,0.26
Shantou City,"China, PR",163000.00,23.3563921,116.6775856,0.37,0.36,0.23
Maoming City,"China, PR",162000.00,21.6656961,110.9209511,0.37,0.36,0.23
Tanjung Pinang,Indonesia,157506.00,0.9236915,104.446094,0.27,0.41,0.14
"Intracostal City, LA",USA,156355.00,29.87583345,-92.12879458,0.00,0.00,0.00
Pohnpei,FSM,155000.00,6.88704675,158.2406138,0.00,1.00,0.00
Lampung,Indonesia,154484.00,-4.8555039,105.0272986,0.27,0.37,0.14
Xiamen City,"China, PR",152184.00,24.4801069,118.0853479,0.34,0.41,0.24
Sofifi,Indonesia,150232.00,0.734776,127.5760518,0.27,0.87,0.14
Abidjan,Ivory Coast,150000.00,5.320357,-4.016107,0.00,0.00,0.00
Ilo,Peru,146652.00,-17.5833671,-71.2358866,0.01,0.93,0.07
Peterhead,UK,146507.00,57.5052909,-1.7813194,0.28,0.70,0.02
Palu,Indonesia,145784.00,-0.9051548,119.8722373,0.27,0.65,0.14
Aceh,Indonesia,143681.00,4.3685491,97.0253024,0.27,0.62,0.14
Mataram,Indonesia,140170.00,-8.5837726,116.10685,0.27,0.45,0.14
Hanstholm,Denmark,135930.00,57.1150165,8.6144947,0.23,0.77,0.01
Wenzhou City,"China, PR",135038.00,24.14549,117.660807,0.34,0.33,0.32
